BurkeLab Nanostat Rev 3.5 Sweep
Index	Current_Amps	Voltage_V	Time_ms
0	-3.2428588867	-0.6000000000	0
1	-3.2142829895	-0.5950000000	40
2	-3.1714248657	-0.5900000000	80
3	-3.1285705566	-0.5850000000	120
4	1.5857162476	-0.5800000000	160
5	1.5999984741	-0.5750000000	200
6	1.5857086182	-0.5700000000	240
7	1.5857124329	-0.5650000000	280
8	1.5857124329	-0.5600000000	320
9	1.5857162476	-0.5550000000	360
10	1.5857162476	-0.5500000000	400
11	1.5857162476	-0.5450000000	440
12	1.5857124329	-0.5400000000	480
13	-3.6285705566	-0.5350000000	520
14	-3.5714263916	-0.5300000000	560
15	-3.5142860413	-0.5250000000	600
16	-3.4714279175	-0.5200000000	640
17	1.7857131958	-0.5150000000	680
18	1.7857131958	-0.5100000000	720
19	1.7857131958	-0.5050000000	760
20	1.7857131958	-0.5000000000	800
21	1.7857131958	-0.4950000000	840
22	1.7857131958	-0.4900000000	880
23	1.7857170105	-0.4850000000	920
24	1.7857170105	-0.4800000000	960
25	1.7857131958	-0.4750000000	1000
26	-4.0714302063	-0.4700000000	1040
27	-4.0142898560	-0.4650000000	1080
28	-3.9571418762	-0.4600000000	1120
29	-3.8857116699	-0.4550000000	1160
30	2.0428581238	-0.4500000000	1200
31	2.0285720825	-0.4450000000	1240
32	2.0428543091	-0.4400000000	1280
33	2.0428543091	-0.4350000000	1320
34	2.0428581238	-0.4300000000	1360
35	2.0428581238	-0.4250000000	1400
36	2.0428581238	-0.4200000000	1440
37	2.0428581238	-0.4150000000	1480
38	2.0285682678	-0.4100000000	1520
39	-4.6714248657	-0.4050000000	1560
40	-4.5999984741	-0.4000000000	1600
41	-4.5142860413	-0.3950000000	1640
42	-4.4142799377	-0.3900000000	1680
43	2.3714256287	-0.3850000000	1720
44	2.3857116699	-0.3800000000	1760
45	2.3857154846	-0.3750000000	1800
46	2.3714256287	-0.3700000000	1840
47	2.3857154846	-0.3650000000	1880
48	2.3857154846	-0.3600000000	1920
49	2.3714256287	-0.3550000000	1960
50	2.3857154846	-0.3500000000	2000
51	2.3857154846	-0.3450000000	2040
52	-5.4857139587	-0.3400000000	2080
53	-5.3571395874	-0.3350000000	2120
54	-5.2428588867	-0.3300000000	2160
55	-5.1285743713	-0.3250000000	2200
56	2.8571434021	-0.3200000000	2240
57	2.8571434021	-0.3150000000	2280
58	2.8571434021	-0.3100000000	2320
59	2.8571434021	-0.3050000000	2360
60	2.8571395874	-0.3000000000	2400
61	2.8571434021	-0.2950000000	2440
62	2.8571434021	-0.2900000000	2480
63	2.8571434021	-0.2850000000	2520
64	2.8571434021	-0.2800000000	2560
65	2.8571395874	-0.2750000000	2600
66	-6.4285697937	-0.2700000000	2640
67	-6.2428588867	-0.2650000000	2680
68	-6.0714263916	-0.2600000000	2720
69	-5.8857154846	-0.2550000000	2760
70	3.5714263916	-0.2500000000	2800
71	3.5714302063	-0.2450000000	2840
72	3.5714263916	-0.2400000000	2880
73	3.5714302063	-0.2350000000	2920
74	3.5714302063	-0.2300000000	2960
75	3.5714263916	-0.2250000000	3000
76	3.5714302063	-0.2200000000	3040
77	3.5714263916	-0.2150000000	3080
78	3.5714263916	-0.2100000000	3120
79	-3.3000144958	-0.2050000000	3160
80	5.8465976715	-0.2000000000	3200
81	12.6658172607	-0.1950000000	3240
82	27.3637256622	-0.1900000000	3280
83	35.5514945984	-0.1850000000	3320
84	24.2850589752	-0.1800000000	3360
85	33.6739463806	-0.1750000000	3400
86	33.6640319824	-0.1700000000	3440
87	37.5940475464	-0.1650000000	3480
88	38.1022033691	-0.1600000000	3520
89	43.1255111694	-0.1550000000	3560
90	46.5473709106	-0.1500000000	3600
91	54.5569534302	-0.1450000000	3640
92	45.0140800476	-0.1400000000	3680
93	37.9289817810	-0.1350000000	3720
94	32.1648635864	-0.1300000000	3760
95	24.0293235779	-0.1250000000	3800
96	7.1428604126	-0.1200000000	3840
97	7.1428565979	-0.1150000000	3880
98	7.1428565979	-0.1100000000	3920
99	7.1428565979	-0.1050000000	3960
100	7.1428527832	-0.1000000000	4000
101	7.1428527832	-0.0950000000	4040
102	7.1428604126	-0.0900000000	4080
103	7.1428604126	-0.0850000000	4120
104	7.1428604126	-0.0800000000	4160
105	-16.0714263916	-0.0750000000	4200
106	-14.2857170105	-0.0700000000	4240
107	-12.5000000000	-0.0650000000	4280
108	-10.7142868042	-0.0600000000	4320
109	14.2857131958	-0.0550000000	4360
110	14.2857170105	-0.0500000000	4400
111	14.2857131958	-0.0450000000	4440
112	-7.1428565979	-0.0400000000	4480
113	-3.5714263916	-0.0350000000	4520
114	0.0000000000	-0.0300000000	4560
115	3.5714263916	-0.0250000000	4600
116	21.4285697937	-0.0200000000	4640
117	14.2857131958	-0.0150000000	4680
118	7.1428527832	-0.0100000000	4719
119	0.0000000000	-0.0050000000	4758
120	0.0000000000	0.0000000000	4798
121	0.0000000000	0.0050000000	4838
122	-7.1428527832	0.0100000000	4876
123	-14.2857131958	0.0150000000	4915
124	-21.4285697937	0.0200000000	4954
125	-3.5714263916	0.0250000000	4993
126	0.0000000000	0.0300000000	5032
127	3.5714263916	0.0350000000	5071
128	7.1428565979	0.0400000000	5110
129	-14.2857131958	0.0450000000	5149
130	-14.2857170105	0.0500000000	5188
131	-14.2857131958	0.0550000000	5227
132	10.7142868042	0.0600000000	5266
133	12.5000000000	0.0650000000	5305
134	14.2857170105	0.0700000000	5344
135	16.0714263916	0.0750000000	5383
136	2.1976318359	0.0800000000	5422
137	-7.1428604126	0.0850000000	5461
138	-7.1428604126	0.0900000000	5500
139	-7.1428527832	0.0950000000	5539
140	-7.1428527832	0.1000000000	5578
141	-7.1428565979	0.1050000000	5617
142	-7.1428565979	0.1100000000	5656
143	-7.1428565979	0.1150000000	5695
144	-7.1428604126	0.1200000000	5734
145	8.9285697937	0.1250000000	5773
146	9.5285682678	0.1300000000	5812
147	10.1285743713	0.1350000000	5851
148	10.7142868042	0.1400000000	5890
149	12.6171302795	0.1450000000	5929
150	-3.3536529541	0.1500000000	5968
151	-4.7714309692	0.1550000000	6007
152	-4.7571449280	0.1600000000	6046
153	-4.7571411133	0.1650000000	6085
154	-4.7714271545	0.1700000000	6124
155	-4.7571487427	0.1750000000	6163
156	-4.7571372986	0.1800000000	6202
157	-4.7714309692	0.1850000000	6241
158	7.1428565979	0.1900000000	6280
159	7.4428634644	0.1950000000	6319
160	7.7285690308	0.2000000000	6358
161	8.0428619385	0.2050000000	6397
162	-3.5714263916	0.2100000000	6436
163	-3.5714263916	0.2150000000	6475
164	-3.5714302063	0.2200000000	6514
165	-3.5714302063	0.2250000000	6553
166	-3.5714302063	0.2300000000	6592
167	-3.5714302063	0.2350000000	6631
168	-3.5714263916	0.2400000000	6670
169	-3.5714302063	0.2450000000	6709
170	-3.5714302063	0.2500000000	6748
171	5.8857078552	0.2550000000	6788
172	6.0714302063	0.2600000000	6827
173	6.2428588867	0.2650000000	6866
174	6.4285697937	0.2700000000	6905
175	-2.8571395874	0.2750000000	6944
176	-2.8571472168	0.2800000000	6983
177	-2.8571434021	0.2850000000	7022
178	-2.8571395874	0.2900000000	7061
179	-2.8571434021	0.2950000000	7100
180	-2.8571395874	0.3000000000	7139
181	-2.8571434021	0.3050000000	7178
182	-2.8571434021	0.3100000000	7217
183	-2.8571434021	0.3150000000	7256
184	-2.8571434021	0.3200000000	7295
185	5.1285705566	0.3250000000	7334
186	5.2428550720	0.3300000000	7373
187	5.3571434021	0.3350000000	7412
188	5.4857139587	0.3400000000	7451
189	-2.3857154846	0.3450000000	7490
190	-2.3857116699	0.3500000000	7529
191	-2.3714256287	0.3550000000	7568
192	-2.3857192993	0.3600000000	7607
193	-2.3857116699	0.3650000000	7646
194	-2.3714256287	0.3700000000	7685
195	-2.3857154846	0.3750000000	7724
196	-2.3857116699	0.3800000000	7763
197	-2.3714294434	0.3850000000	7802
198	4.4142837524	0.3900000000	7841
199	4.5142822266	0.3950000000	7880
200	4.6000022888	0.4000000000	7919
201	4.6714324951	0.4050000000	7958
202	-2.0285720825	0.4100000000	7997
203	-2.0428504944	0.4150000000	8036
204	-2.0428581238	0.4200000000	8075
205	-2.0428581238	0.4250000000	8114
206	-2.0428619385	0.4300000000	8153
207	-2.0428619385	0.4350000000	8192
208	-2.0428581238	0.4400000000	8231
209	-2.0285758972	0.4450000000	8270
210	-2.0428504944	0.4500000000	8309
211	3.8857116699	0.4550000000	8348
212	3.9571456909	0.4600000000	8387
213	4.0142860413	0.4650000000	8426
214	4.0714263916	0.4700000000	8465
215	-1.7857131958	0.4750000000	8504
216	-1.7857131958	0.4800000000	8543
217	-1.7857131958	0.4850000000	8582
218	-1.7857131958	0.4900000000	8621
219	-1.7857131958	0.4950000000	8660
220	-1.7857170105	0.5000000000	8699
221	-1.7857131958	0.5050000000	8738
222	-1.7857170105	0.5100000000	8777
223	-1.7857131958	0.5150000000	8816
224	3.4714317322	0.5200000000	8855
225	3.5142822266	0.5250000000	8894
226	3.5714302063	0.5300000000	8933
227	3.6285705566	0.5350000000	8972
