BurkeLab Nanostat Rev 3.5 Sweep
Index	Current_Amps	Voltage_V	Time_ms
0	-0.0985717773	-0.6000000000	0
1	-0.0942854881	-0.5950000000	40
2	-0.0899996758	-0.5900000000	80
3	-0.0871429443	-0.5850000000	120
4	-0.0828568935	-0.5800000000	160
5	-0.0785713196	-0.5750000000	200
6	-0.0742857456	-0.5700000000	240
7	0.3957142830	-0.5650000000	280
8	0.3971431255	-0.5600000000	320
9	0.3971426487	-0.5550000000	360
10	-0.1242852211	-0.5500000000	400
11	-0.1200003624	-0.5450000000	440
12	-0.1142859459	-0.5400000000	480
13	-0.1085715294	-0.5350000000	520
14	-0.1042857170	-0.5300000000	560
15	-0.0999999046	-0.5250000000	600
16	-0.0942854881	-0.5200000000	640
17	-0.0885715485	-0.5150000000	680
18	-0.0842857361	-0.5100000000	720
19	-0.0800001621	-0.5050000000	760
20	0.4471426010	-0.5000000000	800
21	0.4471428394	-0.4950000000	840
22	0.4457144737	-0.4900000000	880
23	-0.1400003433	-0.4850000000	920
24	-0.1328573227	-0.4800000000	960
25	-0.1271429062	-0.4750000000	1000
26	-0.1214289665	-0.4700000000	1040
27	-0.1142854691	-0.4650000000	1080
28	-0.1085717678	-0.4600000000	1120
29	-0.1014285088	-0.4550000000	1160
30	-0.0957143307	-0.4500000000	1200
31	-0.0885713100	-0.4450000000	1240
32	-0.0828573704	-0.4400000000	1280
33	0.5100004673	-0.4350000000	1320
34	0.5100002289	-0.4300000000	1360
35	0.5099997520	-0.4250000000	1400
36	-0.1614284515	-0.4200000000	1440
37	-0.1542859077	-0.4150000000	1480
38	-0.1442852020	-0.4100000000	1520
39	-0.1357140541	-0.4050000000	1560
40	-0.1285712719	-0.4000000000	1600
41	-0.1199998856	-0.3950000000	1640
42	-0.1099996567	-0.3900000000	1680
43	-0.1028573513	-0.3850000000	1720
44	-0.0942857265	-0.3800000000	1760
45	-0.0842854977	-0.3750000000	1800
46	0.5942857265	-0.3700000000	1840
47	0.5957145691	-0.3650000000	1880
48	0.5957140923	-0.3600000000	1920
49	-0.1914286613	-0.3550000000	1960
50	-0.1785717010	-0.3500000000	2000
51	-0.1671428680	-0.3450000000	2040
52	-0.1557147503	-0.3400000000	2080
53	-0.1428570747	-0.3350000000	2120
54	-0.1314284801	-0.3300000000	2160
55	-0.1200001240	-0.3250000000	2200
56	-0.1071429253	-0.3200000000	2240
57	-0.0957145691	-0.3150000000	2280
58	-0.0842857361	-0.3100000000	2320
59	0.7142856121	-0.3050000000	2360
60	0.7142858505	-0.3000000000	2400
61	0.7142856121	-0.2950000000	2440
62	0.7142858505	-0.2900000000	2480
63	-0.2142858505	-0.2850000000	2520
64	-0.1957144737	-0.2800000000	2560
65	-0.1785712242	-0.2750000000	2600
66	-0.1600000858	-0.2700000000	2640
67	-0.1428570747	-0.2650000000	2680
68	-0.1242859364	-0.2600000000	2720
69	-0.1071429253	-0.2550000000	2760
70	-0.0885715485	-0.2500000000	2800
71	-0.0714285374	-0.2450000000	2840
72	-0.0528571606	-0.2400000000	2880
73	0.8928573132	-0.2350000000	2920
74	0.8928570747	-0.2300000000	2960
75	0.8928570747	-0.2250000000	3000
76	-0.2685713768	-0.2200000000	3040
77	-0.2371425629	-0.2150000000	3080
78	-0.2085711956	-0.2100000000	3120
79	-0.1785714626	-0.2050000000	3160
80	-0.1485712528	-0.2000000000	3200
81	-0.1185712814	-0.1950000000	3240
82	-0.0899999142	-0.1900000000	3280
83	-0.0585713387	-0.1850000000	3320
84	-0.0299999714	-0.1800000000	3360
85	0.0000000000	-0.1750000000	3400
86	2.5489454269	-0.1700000000	3440
87	5.3230457306	-0.1650000000	3480
88	11.0991477966	-0.1600000000	3520
89	9.5520038605	-0.1550000000	3560
90	9.6105756760	-0.1500000000	3600
91	9.6705760956	-0.1450000000	3640
92	9.7305755615	-0.1400000000	3680
93	9.7891473770	-0.1350000000	3720
94	9.8491468430	-0.1300000000	3760
95	9.9091472626	-0.1250000000	3800
96	9.9677181244	-0.1200000000	3840
97	10.0277185440	-0.1150000000	3880
98	10.0877189636	-0.1100000000	3920
99	6.1994585991	-0.1050000000	3960
100	1.7857141495	-0.1000000000	4000
101	1.7857141495	-0.0950000000	4040
102	-0.5357141495	-0.0900000000	4080
103	-0.3571429253	-0.0850000000	4120
104	-0.1785712242	-0.0800000000	4160
105	0.0000000000	-0.0750000000	4200
106	0.1785717010	-0.0700000000	4240
107	0.3571424484	-0.0650000000	4280
108	0.5357141495	-0.0600000000	4320
109	-1.4285712242	-0.0550000000	4360
110	-0.8928570747	-0.0500000000	4400
111	-0.3571429253	-0.0450000000	4440
112	2.5000004768	-0.0400000000	4480
113	2.1428575516	-0.0350000000	4520
114	1.7857146263	-0.0300000000	4560
115	1.4285717010	-0.0250000000	4600
116	1.0714287758	-0.0200000000	4640
117	0.7142863274	-0.0150000000	4680
118	0.3571434021	-0.0100000000	4720
119	1.4285712242	-0.0050000000	4760
120	0.0000000000	0.0000000000	4800
121	-1.4285712242	0.0050000000	4840
122	-0.3571434021	0.0100000000	4880
123	-0.7142863274	0.0150000000	4920
124	-1.0714287758	0.0200000000	4960
125	-1.4285717010	0.0250000000	4999
126	-1.7857146263	0.0300000000	5038
127	-2.1428575516	0.0350000000	5077
128	-2.5000004768	0.0400000000	5116
129	0.3571429253	0.0450000000	5155
130	0.8928570747	0.0500000000	5194
131	1.4285712242	0.0550000000	5233
132	-0.5357141495	0.0600000000	5272
133	-0.3571424484	0.0650000000	5311
134	-0.1785717010	0.0700000000	5350
135	0.0000000000	0.0750000000	5389
136	0.1785712242	0.0800000000	5428
137	0.3571429253	0.0850000000	5467
138	0.5357141495	0.0900000000	5506
139	-1.7857141495	0.0950000000	5545
140	-1.7857141495	0.1000000000	5585
141	-1.7857141495	0.1050000000	5624
142	-0.1785712242	0.1100000000	5663
143	-0.1185717583	0.1150000000	5702
